幣別        匯率             現金        即期        遠期10天        遠期30天        遠期60天        遠期90天       遠期120天       遠期150天       遠期180天 匯率             現金        即期        遠期10天        遠期30天        遠期60天        遠期90天       遠期120天       遠期150天       遠期180天
USD         本行買入     27.56000    27.91000        27.90500        27.90500        27.90000        27.89500        27.88700        27.87800        27.86800 本行賣出     28.23000    28.01000        28.01100        28.01100        28.01100        28.01000        28.01000        28.00800        28.00600
HKD         本行買入      3.44100     3.56700         3.56700         3.56600         3.56600         3.56600         3.56500         3.56400         3.56400 本行賣出      3.64500     3.62700         3.62800         3.62900         3.62900         3.62900         3.62900         3.63000         3.63000
GBP         本行買入     37.85000    38.86000        38.85600        38.84800        38.84900        38.84800        38.84100        38.83500        38.82800 本行賣出     39.97000    39.26000        39.26600        39.27700        39.27800        39.27900        39.28500        39.29100        39.29700
AUD         本行買入     20.27000    20.56000        20.55800        20.55500        20.55600        20.55800        20.55400        20.55300        20.55000 本行賣出     21.05000    20.76000        20.76400        20.77100        20.77400        20.77500        20.77900        20.78700        20.78800
CAD         本行買入     21.98000    22.38000        22.37700        22.37100        22.36900        22.36700        22.36200        22.35600        22.35100 本行賣出     22.89000    22.58000        22.58300        22.58800        22.58700        22.58500        22.58700        22.58900        22.59100
SGD         本行買入     20.10000    20.59000        20.58700        20.58000        20.57800        20.57700        20.57000        20.56400        20.55800 本行賣出     21.01000    20.77000        20.77200        20.77700        20.77600        20.77400        20.77500        20.77500        20.77600
CHF         本行買入     30.05000    30.73000        30.73200        30.73600        30.75900        30.78200        30.79900        30.81600        30.83400 本行賣出     31.25000    30.98000        30.99400        31.02200        31.04600        31.06800        31.09800        31.12900        31.15900
JPY         本行買入      0.24600     0.25330         0.25330         0.25330         0.25330         0.25340         0.25340         0.25340         0.25340 本行賣出      0.25880     0.25730         0.25740         0.25750         0.25750         0.25760         0.25770         0.25790         0.25800
ZAR         本行買入      0.00000     1.87900         1.87600         1.87000         1.86200         1.85400         1.84600         1.83800         1.83000 本行賣出      0.00000     1.95900         1.95700         1.95300         1.94500         1.93800         1.93100         1.92300         1.91600
SEK         本行買入      2.88000     3.22000         3.22000         3.21900         3.21900         3.22000         3.22000         3.22000         3.22100 本行賣出      3.40000     3.32000         3.32100         3.32300         3.32400         3.32400         3.32600         3.32700         3.32800
NZD         本行買入     19.12000    19.50000        19.49700        19.49000        19.48500        19.47900        19.46600        19.45200        19.43900 本行賣出     19.97000    19.70000        19.70200        19.70700        19.70200        19.69600        19.69000        19.68300        19.67700
THB         本行買入      0.72340     0.83580         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000 本行賣出      0.91340     0.87580         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
PHP         本行買入      0.48590     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000 本行賣出      0.61890     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
IDR         本行買入      0.00158     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000 本行賣出      0.00228     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
EUR         本行買入     32.44000    33.06000        33.06100        33.06300        33.08000        33.09500        33.10900        33.12200        33.13600 本行賣出     33.78000    33.46000        33.47300        33.50000        33.52200        33.54400        33.57200        33.59900        33.62700
KRW         本行買入      0.02262     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000 本行賣出      0.02652     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
VND         本行買入      0.00099     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000 本行賣出      0.00140     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
MYR         本行買入      5.60200     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000 本行賣出      7.08200     0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000
CNY         本行買入      4.23200     4.30400         4.29980         4.29150         4.27700         4.26760         4.25430         4.24100         4.22780 本行賣出      4.39400     4.35400         4.35140         4.34620         4.33510         4.32780         4.31840         4.30910         4.29990
